material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements,avg_atomic_weight,cell_mass,magnetic_performance_index
mp-753756,FePO4,2.389475399196478,0.0404103145833332,-2.3111756457738095,FM,20.0011717,0.0477090151707518,5.000292925,419.2325418668838,24,Orthorhombic,Pna2_1,False,17.468022577786826,"{'Fe': 4.0, 'P': 4.0, 'O': 16.0}","['Fe', 'O', 'P']",3,0.13679140775985998,3.2829937862366396,6.092357464656592
mp-19824,Ca(MnGe)2,5.064020553482401,0.0,-0.3383862771724096,FM,7.6281587,0.0787951666424266,7.6281587,96.80998245256175,5,Tetragonal,I4/mmm,True,19.36199649051235,"{'Ca': 1.0, 'Mn': 2.0, 'Ge': 2.0}","['Ca', 'Ge', 'Mn']",3,0.26154433794902515,1.3077216897451258,5.833166766153985
mp-504149,FePO4,2.448028084930851,0.0281820686111107,-2.3234038917460307,FM,60.0418177,0.0489092972649034,5.003484808333334,1227.6156284724434,72,Monoclinic,P2_1/c,False,17.05021706211727,"{'Fe': 12.0, 'P': 12.0, 'O': 48.0}","['Fe', 'O', 'P']",3,0.14357753194649703,10.337582300147787,5.80811024828713
mp-559295,FePO4,2.453838728309008,0.0258905031249989,-2.3256954572321433,FM,40.0050956,0.0489974844269508,5.00063695,816.4724386951465,48,Orthorhombic,Pbca,False,17.009842472815553,"{'Fe': 8.0, 'P': 8.0, 'O': 32.0}","['Fe', 'O', 'P']",3,0.14425993257907205,6.924476763795458,5.777345634137463
mp-19285,Ba(FeO2)2,4.284986646927439,0.0354334707142864,-2.053664364999999,FM,20.0000001,0.0824395821933104,10.00000005,242.60191000364992,14,Hexagonal,P6_322,False,17.328707857403565,"{'Ba': 2.0, 'Fe': 4.0, 'O': 8.0}","['Ba', 'Fe', 'O']",3,0.24727675497724483,3.4618745696814277,5.777216850996558
mp-26792,FePO4,2.4743365651199203,0.0437798862500002,-2.3078060741071424,FM,20.0005583,0.049401864709532,5.000139575,404.8543191152236,24,Orthorhombic,Pna2_1,False,16.868929963134317,"{'Fe': 4.0, 'P': 4.0, 'O': 16.0}","['Fe', 'O', 'P']",3,0.14668011370770895,3.5203227289850147,5.681455889064636
mp-2216699,FePO4,2.49346909002023,0.0274208758333331,-2.324165084523809,FM,20.005973,0.0497973368431296,5.00149325,401.74784974992366,24,Triclinic,P1,False,16.73949373958015,"{'Fe': 4.0, 'P': 4.0, 'O': 16.0}","['Fe', 'O', 'P']",3,0.14895725813526123,3.5749741952462695,5.596116757039095
mp-2234217,FePO4,2.516012289285291,0.0375097234722225,-2.3140762368849193,FM,14.9880982,0.0501926903447375,4.996032733333333,298.61117419802616,18,Orthorhombic,C222,False,16.58950967766812,"{'Fe': 3.0, 'P': 3.0, 'O': 12.0}","['Fe', 'O', 'P']",3,0.1516628482800916,2.729931269041649,5.490284085159997
mp-704299,FePO4,2.5435534702599454,0.0277173126041665,-2.323868647752976,FM,80.0330816,0.0508034107123,5.0020676,1575.348593290866,96,Monoclinic,Cc,False,16.409881180113185,"{'Fe': 16.0, 'P': 16.0, 'O': 64.0}","['Fe', 'O', 'P']",3,0.1550013337904255,14.880128043880848,5.378521029119234
mp-766442,FePO4,2.5435500192440768,0.0269142604166665,-2.324671699940476,FM,40.0009517,0.050783550508483,5.0001189625,787.6753653393752,48,Orthorhombic,Pca2_1,False,16.409903444570315,"{'Fe': 8.0, 'P': 8.0, 'O': 32.0}","['Fe', 'O', 'P']",3,0.1550009131885345,7.440043833049657,5.376440327180667
mp-766460,FePO4,2.5632677395654184,0.0276607793750001,-2.323925180982142,FM,40.0010573,0.0511773621039874,5.0001321625,781.6162392020464,48,Orthorhombic,Pca2_1,False,16.28367165004263,"{'Fe': 8.0, 'P': 8.0, 'O': 32.0}","['Fe', 'O', 'P']",3,0.1574133767035709,7.555842081771402,5.294056819491137
mp-771134,CoPO4,2.321093210187358,0.0491852847916671,-2.0715068609821436,FM,31.9992065,0.0363279780069167,3.9999008125,880.8419365896845,48,Monoclinic,P2_1/c,False,18.35087367895176,"{'Co': 8.0, 'P': 8.0, 'O': 32.0}","['Co', 'O', 'P']",3,0.1264840710472344,6.071235410267251,5.270625224955891
mp-532236,Mn17Fe13O40,4.619103095490526,0.0495979924285681,-1.861521329640394,FM,143.0002225,0.1729556887596438,143.0002225,826.8026540527798,70,Triclinic,P-1,False,11.811466486468282,"{'Mn': 17.0, 'Fe': 13.0, 'O': 40.0}","['Fe', 'Mn', 'O']",3,0.3910693986036676,27.37485790225673,5.223779535608525
mp-1222437,Mn5(FeO3)4,4.645185042497948,0.0495175607142837,-1.8580302249835805,FM,86.0004664,0.1743154872115369,43.0002332,493.361019010525,42,Triclinic,P-1,False,11.746690928822025,"{'Mn': 10.0, 'Fe': 8.0, 'O': 24.0}","['Fe', 'Mn', 'O']",3,0.39544626402831334,16.60874308918916,5.178023763639211
mp-22427,BaSr(FeO2)4,4.349906804188672,0.0234378125892851,-2.0951396035714285,FM,20.0000001,0.0909066184545323,20.0000001,220.00598460279485,14,Trigonal,P-31m,False,15.71471318591392,"{'Ba': 1.0, 'Sr': 1.0, 'Fe': 4.0, 'O': 8.0}","['Ba', 'Fe', 'O', 'Sr']",4,0.2768047213287841,3.875266098602977,5.160935943782015
mp-2912507,Fe2C2O7,2.5810340555741296,0.0492557861363636,-1.3613646839772726,FM,40.0000011,0.0627488857817555,10.000000275,637.4615357971845,44,Monoclinic,P2_1/c,False,14.487762177208738,"{'Fe': 8.0, 'C': 8.0, 'O': 28.0}","['C', 'Fe', 'O']",3,0.17815270736804711,7.838719124194073,5.102874649066156
mp-705201,FePO4,2.613266293103738,0.0318481786458333,-2.3197377817113094,FM,80.0000003,0.0521742379082872,5.00000001875,1533.3237917269694,96,Monoclinic,Cc,False,15.972122830489264,"{'Fe': 16.0, 'P': 16.0, 'O': 64.0}","['Fe', 'O', 'P']",3,0.16361421213936955,15.706964365379477,5.0932820906076595
mp-652683,Ba2Fe6O11,4.626406137851825,0.0096051722368377,-1.9789646417105264,FM,120.0000593,0.1063774941741919,30.000014825,1128.0587142192055,76,Orthorhombic,Pnnm,False,14.842877818673756,"{'Ba': 8.0, 'Fe': 24.0, 'O': 44.0}","['Ba', 'Fe', 'O']",3,0.3116919908908342,23.6885913077034,5.065732180578278
mp-19752,FePO4,2.623676100154764,0.0296576219444437,-2.3219283384126985,FM,29.9999987,0.0523820687389742,4.999999783333333,572.715042040309,36,Hexagonal,P6_422,False,15.90875116778636,"{'Fe': 6.0, 'P': 6.0, 'O': 24.0}","['Fe', 'O', 'P']",3,0.1649203053390795,5.937130992206862,5.05294539389114
