material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements
mp-1183075,Ac3Cr,8.090113412178603,0.4506825956249969,0.4506825956249969,FM,3.5764967,0.02377177858623298,3.5764967,150.45137186627116,4,Cubic,Pm-3m,False,37.61284296656779,"{'Ac': 3.0, 'Cr': 1.0}","[Element Ac, Element Cr]",2
mp-1183097,Ac3Mo,9.377220869470966,0.6916704356249994,0.6916704356249994,FM,1.5727895,0.01143163020390568,1.5727895,137.582258343403,4,Tetragonal,I4/mmm,False,34.39556458585075,"{'Ac': 3.0, 'Mo': 1.0}","[Element Ac, Element Mo]",2
mp-1183280,Ac3Np,9.414685125261874,0.4617171059374954,0.4617171059374954,FM,11.0625291,0.03416161947382863,5.53126455,323.8291764380507,8,Hexagonal,P6_3/mmc,False,40.47864705475634,"{'Ac': 6.0, 'Np': 2.0}","[Element Ac, Element Np]",2
mp-1183126,Ac3Pa,9.648125810264567,0.41565086937499984,0.41565086937499984,FM,2.6082249,0.008308009354664898,1.30411245,313.94101627190605,8,Hexagonal,P6_3/mmc,False,39.242627033988256,"{'Ac': 6.0, 'Pa': 2.0}","[Element Ac, Element Pa]",2
mp-1183094,Ac3V,8.308978605570177,0.49425355062500387,0.49425355062500387,FM,3.0673205,0.020969174225652167,3.0673205,146.27760096759854,4,Tetragonal,I4/mmm,False,36.569400241899636,"{'Ac': 3.0, 'V': 1.0}","[Element Ac, Element V]",2
mp-1183142,AcMgO3,7.671748369303113,0.08231248649999845,-3.0018453265,FM,1.0000029,0.015436013543347393,1.0000029,64.78375373225691,5,Cubic,Pm-3m,False,12.956750746451382,"{'Ac': 1.0, 'Mg': 1.0, 'O': 3.0}","[Element Ac, Element Mg, Element O]",3
mp-1215094,Ag(AsSe2)3,0.2644664736998635,1.4849147445370399,1.0992216751770836,FM,4.030842,0.0007961053682025037,4.030842,5063.201632594296,10,Orthorhombic,Cmmm,False,506.3201632594296,"{'Ag': 1.0, 'As': 3.0, 'Se': 6.0}","[Element Ag, Element As, Element Se]",3
mp-18125,Ag(AuF4)2,6.9415674870117385,0.0,-1.3821817042424362,FM,2.0,0.006393977928840264,1.0,312.7943233865305,22,Monoclinic,P2_1/c,True,14.21792379029684,"{'Ag': 2.0, 'Au': 4.0, 'F': 16.0}","[Element Ag, Element Au, Element F]",3
mp-1206226,Ag(BiTe2)3,0.3717741435238226,1.3255340686562533,1.1054548349062543,FM,7.3644914,0.0010989123818002907,7.3644914,6701.61836554716,10,Orthorhombic,Cmmm,False,670.1618365547159,"{'Ag': 1.0, 'Bi': 3.0, 'Te': 6.0}","[Element Ag, Element Bi, Element Te]",3
mp-1192809,Ag(NO)3,2.634039644074368,1.5569932460714284,1.070804999404761,FM,19.5148111,0.039107621405280055,4.878702775,499.00276208987844,28,Orthorhombic,Pnnm,False,17.82152721749566,"{'Ag': 4.0, 'N': 12.0, 'O': 12.0}","[Element Ag, Element N, Element O]",3
mp-732005,Ag(NO2)3,2.5697692409785047,0.5533192849999944,-0.0955711449166671,FM,15.934034,0.025071439535322048,3.9835085,635.5452377415841,40,Monoclinic,P2_1/c,False,15.888630943539601,"{'Ag': 4.0, 'N': 12.0, 'O': 24.0}","[Element Ag, Element N, Element O]",3
mp-1215080,Ag12SBr,0.318507480109221,1.7073325221428577,1.5630366226785735,FM,5.8548077,0.0007985060418478607,5.8548077,7332.202128929559,14,Cubic,Pm-3m,False,523.7287234949684,"{'Ag': 12.0, 'S': 1.0, 'Br': 1.0}","[Element Ag, Element Br, Element S]",3
mp-1215073,Ag12SI,0.3312325343596071,1.6989854671428577,1.5820983019642874,FM,5.9407548,0.0008153498315219643,5.9407548,7286.142181339207,14,Cubic,Pm-3m,False,520.4387272385148,"{'Ag': 12.0, 'S': 1.0, 'I': 1.0}","[Element Ag, Element I, Element S]",3
mp-1229305,Ag14H8I4(OF2)5,5.875801287565075,0.08963622995935072,-0.9963332948373979,FM,3.9989824,0.0030817697490936632,1.9994912,1297.6253015580044,82,Monoclinic,P2_1,False,15.824698799487859,"{'Ag': 28.0, 'H': 16.0, 'I': 8.0, 'O': 10.0, 'F': 20.0}","[Element Ag, Element F, Element H, Element I, Element O]",5
mp-685512,Ag15Bi7I40,5.5561947298596825,0.12853654072580678,-0.44390911475806427,FM,6.2252505,0.0025535907132122255,6.2252505,2437.841925015893,62,Monoclinic,Cm,False,39.320031048643436,"{'Ag': 15.0, 'Bi': 7.0, 'I': 40.0}","[Element Ag, Element Bi, Element I]",3
mp-1205258,Ag2(MoO4)3,4.629085248596949,0.35073570585784264,-1.118035937254902,FM,7.9996544,0.008015478600579128,1.9999136,998.0257946695804,68,Orthorhombic,Pnma,False,14.676849921611476,"{'Ag': 8.0, 'Mo': 12.0, 'O': 48.0}","[Element Ag, Element Mo, Element O]",3
mp-733466,Ag2As3S6N,3.5771684462002993,0.45595734684027356,0.3173099485590403,FM,11.8587251,0.00987262320536429,2.964681275,1201.1726623534626,48,Monoclinic,P2_1/c,False,25.024430465697137,"{'Ag': 8.0, 'As': 12.0, 'S': 24.0, 'N': 4.0}","[Element Ag, Element As, Element N, Element S]",4
mp-1080805,Ag2AsS4N,3.910688874481228,0.6471504663541658,0.5368353365429677,FM,2.344,0.012751151637883639,2.344,183.82653320786977,8,Tetragonal,I-42m,False,22.97831665098372,"{'Ag': 2.0, 'As': 1.0, 'S': 4.0, 'N': 1.0}","[Element Ag, Element As, Element N, Element S]",4
mp-1183003,Ag2Au3N6Cl17,2.649578762597055,0.8800199700892852,0.4387042184523808,FM,13.7004265,0.014638355011929002,13.7004265,935.9266453665955,28,Orthorhombic,Immm,False,33.42595162023555,"{'Ag': 2.0, 'Au': 3.0, 'N': 6.0, 'Cl': 17.0}","[Element Ag, Element Au, Element Cl, Element N]",4
mp-686742,Ag2H21N7(ClO4)2,1.541091530904222,0.7194490415416661,-0.20724727636458412,FM,1.999959,0.0034768037102068466,1.999959,575.2291951739248,40,Triclinic,P1,False,14.38072987934812,"{'Ag': 2.0, 'H': 21.0, 'N': 7.0, 'Cl': 2.0, 'O': 8.0}","[Element Ag, Element Cl, Element H, Element N, Element O]",5
