(BH_Max),Anisotropy Constant K1,Anisotropy Constant K2,Anisotropy_Energy,Anisotropy_Field,Coercivity,Crystal_Structure,Curie(TC),Curie_Weiss,DOI,Experimental,Intrinsic Coercivity,Lattice_Parameter,Lattice_Structure,Magnet_type,Magnetic_type,Material_Density,Material_Name,Material_Type,Neel(TN),Remanence_Magnetization,Saturation_Magnetization,Space_Group,Substrate,Thickness
,,,,,"{'Value': '994,000', 'Units': 'A/m', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.08.082,true,,,,Hard,Ferromagnetic,7.6 g/cm^3,NdFeB,Bulk,,,,,,
,,,,,"{'Value': '1.44', 'Units': 'MA/m', 'Temperature': 'NA'}",,580 K,,10.1016/j.jmmm.2017.08.083,true,,,,Hard,Ferromagnetic,,Nd4Fe77.5B18.5 with 40% Nd-Al,Bulk,,,,,,
,,,,,"{'Value': '0.18', 'Units': 'MA/m', 'Temperature': 'NA'}",,580 K,,10.1016/j.jmmm.2017.08.083,true,,,,Hard,Ferromagnetic,,Nd4Fe77.5B18.5,Bulk,,,,,,
,,,,,"{'Value': '2.66', 'Units': 'T', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.08.085,true,,,,Hard,Ferromagnetic,,Nd2Fe14B,Bulk,,"{'Value': '0.82', 'Units': 'T', 'Temperature': 'NA'}",,,,
,,,,,"{'Value': '2.73', 'Units': 'T', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.08.085,true,,,,Hard,Ferromagnetic,,Nd2Fe14B,Bulk,,"{'Value': '0.85', 'Units': 'T', 'Temperature': 'NA'}",,,,
,"{'Value': '840, 832', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '20K, 300K'}",,,,,Cubic Laves phase,667 K,,10.1016/j.jmmm.2017.08.091,true,,"{'a': '7.4203', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Sm0.9Pr0.1Fe1.93,Bulk,,,"{'Value': '64, 61', 'Units': 'emu/g', 'Temperature': '20K, 300K'}",,,
,"{'Value': '499, 435', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '20K, 300K'}",,,,,Cubic Laves phase,659 K,,10.1016/j.jmmm.2017.08.091,true,,"{'a': '7.4221', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Sm0.78Nd0.12Pr0.1Fe1.93,Bulk,,,"{'Value': '69, 65', 'Units': 'emu/g', 'Temperature': '20K, 300K'}",,,
,"{'Value': '882, 676', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '20K, 300K'}",,,,,Cubic Laves phase,658 K,,10.1016/j.jmmm.2017.08.091,true,,"{'a': '7.4247', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Sm0.7Nd0.2Pr0.1Fe1.93,Bulk,,,"{'Value': '72, 67', 'Units': 'emu/g', 'Temperature': '20K, 300K'}",,,
,"{'Value': '711, 627', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '20K, 300K'}",,,,,Cubic Laves phase,657 K,,10.1016/j.jmmm.2017.08.091,true,,"{'a': '7.4262', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Sm0.66Nd0.24Pr0.1Fe1.93,Bulk,,,"{'Value': '76, 68', 'Units': 'emu/g', 'Temperature': '20K, 300K'}",,,
,"{'Value': '753, 591', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '20K, 300K'}",,,,,Cubic Laves phase,656 K,,10.1016/j.jmmm.2017.08.091,true,,"{'a': '7.4279', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Sm0.58Nd0.32Pr0.1Fe1.93,Bulk,,,"{'Value': '81, 75', 'Units': 'emu/g', 'Temperature': '20K, 300K'}",,,
,"{'Value': '439, 383', 'Units': 'J/m^3', 'Type': 'NA', 'Temperature': '20K, 300K'}",,,,,Cubic Laves phase,654 K,,10.1016/j.jmmm.2017.08.091,true,,"{'a': '7.4298', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Sm0.54Nd0.36Pr0.1Fe1.93,Bulk,,,"{'Value': '83, 77', 'Units': 'emu/g', 'Temperature': '20K, 300K'}",,,
,,,,,"{'Value': '1359.5935', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.09.005,true,,"{'a': '5.88', 'b': 'NA', 'c': '23.07'}",Hexagonal,Hard,Ferromagnetic,5.10 g/cm^3,SrFe12O19,Bulk,,"{'Value': '37.90', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '68.31', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,,,,,"{'Value': '1987.4004', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.09.005,true,,"{'a': '5.90', 'b': 'NA', 'c': '23.20'}",Hexagonal,Hard,Ferromagnetic,5.04 g/cm^3,SrFe11.99Sm0.01O19,Bulk,,"{'Value': '45.29', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '72.55', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,,,,,"{'Value': '1955.6086', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.09.005,true,,"{'a': '5.93', 'b': 'NA', 'c': '23.26'}",Hexagonal,Hard,Ferromagnetic,4.99 g/cm^3,SrFe11.98Sm0.02O19,Bulk,,"{'Value': '42.56', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '69.89', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,,,,,"{'Value': '1871.5841', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.09.005,true,,"{'a': '5.95', 'b': 'NA', 'c': '23.30'}",Hexagonal,Hard,Ferromagnetic,4.95 g/cm^3,SrFe11.97Sm0.03O19,Bulk,,"{'Value': '43.84', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '71.50', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
"{'Value': '36.71', 'Units': 'MGsOe', 'Temperature': 'NA'}",,,,,"{'Value': '15.54', 'Units': 'kOe', 'Temperature': 'NA'}",,600 K,,10.1016/j.jmmm.2017.09.023,true,,,,Hard,Ferromagnetic,7.59 g/cm^3,Nd-Fe-B,Bulk,,"{'Value': '12.30', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
"{'Value': '36.24', 'Units': 'MGsOe', 'Temperature': 'NA'}",,,,,"{'Value': '16.03', 'Units': 'kOe', 'Temperature': 'NA'}",,600 K,,10.1016/j.jmmm.2017.09.023,true,,,,Hard,Ferromagnetic,7.58 g/cm^3,Nd-Fe-B + 0.1 wt% S,Bulk,,"{'Value': '12.03', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
"{'Value': '35.98', 'Units': 'MGsOe', 'Temperature': 'NA'}",,,,,"{'Value': '16.67', 'Units': 'kOe', 'Temperature': 'NA'}",,600 K,,10.1016/j.jmmm.2017.09.023,true,,,,Hard,Ferromagnetic,7.53 g/cm^3,Nd-Fe-B + 0.2 wt% S,Bulk,,"{'Value': '11.95', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
"{'Value': '35.06', 'Units': 'MGsOe', 'Temperature': 'NA'}",,,,,"{'Value': '16.07', 'Units': 'kOe', 'Temperature': 'NA'}",,600 K,,10.1016/j.jmmm.2017.09.023,true,,,,Hard,Ferromagnetic,7.47 g/cm^3,Nd-Fe-B + 0.3 wt% S,Bulk,,"{'Value': '11.67', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
"{'Value': '33.88', 'Units': 'MGsOe', 'Temperature': 'NA'}",,,,,"{'Value': '15.12', 'Units': 'kOe', 'Temperature': 'NA'}",,600 K,,10.1016/j.jmmm.2017.09.023,true,,,,Hard,Ferromagnetic,7.42 g/cm^3,Nd-Fe-B + 0.5 wt% S,Bulk,,"{'Value': '11.19', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
,,,,,"{'Value': '75', 'Units': 'Oe', 'Temperature': 'NA'}",Magnetoplumbite,,,10.1016/j.jmmm.2017.09.048,true,,,Hexagonal,Soft,Soft Ferromagnetic,,BaTi1.2Co1.2Fe9O19−δ,Bulk,,,"{'Value': '55', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '8.5', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.09.059,true,,,,Hard,Ferromagnetic,,NdFeB,Bulk,,"{'Value': '8.64', 'Units': 'kG', 'Temperature': 'NA'}","{'Value': '10.1', 'Units': 'kG', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '0.34', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.09.059,true,,,,Hard,Ferromagnetic,,Nd-(FeCoTi),Bulk,,"{'Value': '8.72', 'Units': 'kG', 'Temperature': 'NA'}","{'Value': '13.1', 'Units': 'kG', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '9.1', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.09.059,true,,,,Hard,Ferromagnetic,,Sm-(CoFeCuZr),Bulk,,"{'Value': '8.75', 'Units': 'kG', 'Temperature': 'NA'}","{'Value': '4.2', 'Units': 'kG', 'Temperature': 'NA'}",,,
,,,,"{'Value': '8.6', 'Units': 'T', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '1.1', 'Units': 'T', 'Temperature': 'Room Temperature'}",,,,10.1016/j.jmmm.2017.09.072,true,,,,Hard,Ferromagnetic,,Hot-deformed Nd-Fe-B Magnet,Bulk,,,,,,
,,,,"{'Value': '8.6', 'Units': 'T', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '2.0', 'Units': 'T', 'Temperature': 'Room Temperature'}",,,,10.1016/j.jmmm.2017.09.072,true,,,,Hard,Ferromagnetic,,Grain Boundary Diffusion Processed Nd-Fe-B Magnet,Bulk,,,,,,
,,,,,"{'Value': '98.15', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",Spinel,,,10.1016/j.jmmm.2017.09.075,true,,"{'a': '8.401', 'b': '8.401', 'c': '8.401'}",Cubic,Soft,Ferromagnetic,89%,Co0.8Zn0.2Fe2O4,Bulk,,,"{'Value': '92.13', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
,,,,,"{'Value': '360', 'Units': 'kA/m', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.10.002,true,,"{'a': '5.8836', 'b': '5.8836', 'c': '23.0565'}",,Hard,Ferromagnetic,,M-SrFe12O19,Bulk,,,"{'Value': '76', 'Units': 'A·m²/kg', 'Temperature': 'NA'}",P63/mmc,,
,"{'Value': '5.24', 'Units': '10^7 erg/cm^3', 'Type': 'Local', 'Temperature': 'NA'}",,,,,Ce2Ni7-type,600 K,,10.1016/j.jmmm.2017.10.015,true,,"{'a': '5.068', 'b': 'NA', 'c': '24.457'}",Hexagonal,Soft,Ferromagnetic,,Pr2Co7H0,Bulk,,,"{'Value': '55', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,"{'Value': '5.28', 'Units': '10^7 erg/cm^3', 'Type': 'Local', 'Temperature': 'NA'}",,,,,Ce2Ni7-type,605 K,,10.1016/j.jmmm.2017.10.015,true,,"{'a': '5.068', 'b': 'NA', 'c': '24.468'}",Hexagonal,Soft,Ferromagnetic,,Pr2Co7H0.25,Bulk,,,"{'Value': '65', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,"{'Value': '5.64', 'Units': '10^7 erg/cm^3', 'Type': 'Local', 'Temperature': 'NA'}",,,,,Ce2Ni7-type,620 K,,10.1016/j.jmmm.2017.10.015,true,,"{'a': '5.076', 'b': 'NA', 'c': '24.973'}",Hexagonal,Soft,Ferromagnetic,,Pr2Co7H1,Bulk,,,"{'Value': '72', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,"{'Value': '5.73', 'Units': '10^7 erg/cm^3', 'Type': 'Local', 'Temperature': 'NA'}",,,,,Ce2Ni7-type,667 K,,10.1016/j.jmmm.2017.10.015,true,,"{'a': '5.5102', 'b': 'NA', 'c': '25.989'}",Hexagonal,Soft,Ferromagnetic,,Pr2Co7H2.5,Bulk,,,"{'Value': '77', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,"{'Value': '5.63', 'Units': '10^7 erg/cm^3', 'Type': 'Local', 'Temperature': 'NA'}",,,,,Ce2Ni7-type,690 K,,10.1016/j.jmmm.2017.10.015,true,,"{'a': '5.103', 'b': 'NA', 'c': '26.093'}",Hexagonal,Soft,Ferromagnetic,,Pr2Co7H3.75,Bulk,,,"{'Value': '74', 'Units': 'emu/g', 'Temperature': 'NA'}",P63/mmc,,
,,,,,"{'Value': '744', 'Units': 'A/m', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.10.039,true,,,,,Ferromagnetic,,45 Steel,Bulk,,,,,,
