entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1,Fe,1,Im-3m,cubic,Ferromagnetic,2.18,4.46,0.001,0.009,a,0.049,953.2,0.0,0.0,Fe1,ok
MMD-2,Co,1,P6_3/mmc,hexagonal,Ferromagnetic,1.72,3.23,,,c,0.307,1474.2,0.0,0.0,Co1,ok
MMD-3,Ni,1,Fm-3m,cubic,Ferromagnetic,0.68,2.59,0.001,0.002,a,0.073,401.8,0.0,0.0,Ni1,ok
MMD-4,FeCo5N2,3,C2,monoclinic,Ferromagnetic,0.95,12.74,,,b,0.632,,40.236808,73.484,Co5Fe1N2,ok
MMD-5,FeCo5N2,3,Amm2,orthorhombic,Ferromagnetic,1.25,17.02,,,c,0.715,,62.982214,96.23,Co5Fe1N2,ok
MMD-6,FeCo5N2,3,Cmmm,orthorhombic,Ferromagnetic,1.26,17.16,,,c,0.736,,66.101168,99.349,Co5Fe1N2,ok
MMD-7,FeCo2N,3,C222_1,orthorhombic,Ferromagnetic,1.17,15.78,,,a,1.231,,16.372598,82.867,Co2Fe1N1,ok
MMD-8,FeCo2N,3,Cc,monoclinic,Ferromagnetic,1.09,14.72,,,b,0.938,,17.715421,84.21,Co2Fe1N1,ok
MMD-9,FeCo2N,3,Amm2,orthorhombic,Ferromagnetic,1.33,18.16,,,c,1.08,,40.047681,106.542,Co2Fe1N1,ok
MMD-10,Fe3Co3N2,3,P1,triclinic,Ferromagnetic,1.25,8.45,,,,,,-5.011285,78.546,Co3Fe3N2,ok
MMD-11,Fe3Co3N2,3,Amm2,orthorhombic,Ferromagnetic,1.4,19.2,,,c,1.177,,9.320304,92.878,Co3Fe3N2,ok
MMD-12,Fe3Co3N2,3,Amm2,orthorhombic,Ferromagnetic,1.59,21.89,,,c,1.053,,12.14597,95.704,Co3Fe3N2,ok
MMD-13,Fe2CoN,3,C2,monoclinic,Ferromagnetic,1.5,20.55,,,a,0.875,,-27.787176,72.833,Co1Fe2N1,ok
MMD-14,Fe2CoN,3,Cmcm,orthorhombic,Ferromagnetic,1.72,23.95,,,b,0.655,,-8.786127,91.834,Co1Fe2N1,ok
MMD-15,Fe2CoN,3,Amm2,orthorhombic,Ferromagnetic,1.62,22.36,,,c,0.987,,-1.807968,98.812,Co1Fe2N1,ok
MMD-16,Fe5CoN2,3,C2,monoclinic,Ferromagnetic,1.65,22.75,,,a,0.71,,-46.637491,45.124,Co1Fe5N2,ok
MMD-17,Fe5CoN2,3,Amm2,orthorhombic,Ferromagnetic,1.73,23.88,,,c,0.787,,-14.680516,77.08,Co1Fe5N2,ok
MMD-18,Fe5CoN2,3,Cmmm,orthorhombic,Ferromagnetic,1.77,24.79,,,a,0.744,,-8.208821,83.552,Co1Fe5N2,ok
MMD-19,FeCo7N2,3,P4/mmm,tetragonal,Ferromagnetic,1.54,13.66,,,ab plane,0.459,,35.198232,61.796,Co7Fe1N2,ok
MMD-20,FeCo7N2,3,I4/mmm,tetragonal,Ferromagnetic,1.55,27.32,,,c,0.925,,42.609134,69.207,Co7Fe1N2,ok
MMD-21,FeCo3N,3,Pm-3m,cubic,Ferromagnetic,1.66,7.42,0.001,0.003,a,0.034,,-4.46633,48.73,Co3Fe1N1,ok
MMD-22,FeCo3N,3,I4mm,tetragonal,Ferromagnetic,1.65,29.35,,,c,0.769,,11.259832,64.456,Co3Fe1N1,ok
MMD-23,Fe3Co5N2,3,Pmmm,orthorhombic,Ferromagnetic,1.73,15.5,,,a,0.175,,-24.325672,42.52,Co5Fe3N2,ok
MMD-24,Fe3Co5N2,3,I4/mmm,tetragonal,Ferromagnetic,1.73,31.02,,,c,0.627,,-10.566935,56.279,Co5Fe3N2,ok
MMD-25,Fe3Co5N2,3,I-4m2,tetragonal,Ferromagnetic,1.7,30.29,,,c,0.832,,1.585935,68.432,Co5Fe3N2,ok
MMD-26,Fe2Co2N,3,P4/mmm,tetragonal,Ferromagnetic,1.78,8.02,,,ab plane,0.35,,-39.651051,40.845,Co2Fe2N1,ok
MMD-27,Fe2Co2N,3,Imm2,orthorhombic,Ferromagnetic,1.77,31.7,,,c,0.61,,-18.521705,61.975,Co2Fe2N1,ok
MMD-28,Fe5Co3N2,3,Pmmm,orthorhombic,Ferromagnetic,1.82,16.54,,,a,0.489,,-38.48228,55.664,Co3Fe5N2,ok
MMD-29,Fe5Co3N2,3,I4/mmm,tetragonal,Ferromagnetic,1.86,33.54,,,c,0.86,,-25.059325,69.087,Co3Fe5N2,ok
