material_id,formula,elements,nelements,nsites,volume,density,energy_above_hull,formation_energy,band_gap,total_magnetization,mag_norm_vol,ordering,crystal_system,spacegroup_number,num_magnetic_sites,elements_list,is_re_free
mp-1201385,Ba3Fe26O41,"['Ba', 'Fe', 'O']",3,140,1661.195118115374,5.037862430934868,0.050176802928556,-1.758626668285714,0.4319000000000002,256.2355345,0.1542477049840474,FM,Hexagonal,194,134,"['Ba', 'Fe', 'O']",True
mp-566548,Ba(Fe2O3)9,"['Ba', 'Fe', 'O']",3,92,1040.4493935925825,5.02581542039127,0.0735154128260866,-1.672092407934782,0.0778999999999996,176.0921336,0.1692462263752867,FM,Hexagonal,194,90,"['Ba', 'Fe', 'O']",True
mp-654312,Ba2Fe2O5,"['Ba', 'Fe', 'O']",3,126,1968.1981535928928,5.508228060959527,0.0254269986507935,-2.273893455317461,1.4173,140.0005582,0.071131332962808,FM,Monoclinic,14,94,"['Ba', 'Fe', 'O']",True
mp-1196071,Ba2Fe2O5,"['Ba', 'Fe', 'O']",3,126,1993.01982263072,5.439626929971506,0.0,-2.2993204539682544,1.6103,140.0000826,0.0702452032891497,FM,Monoclinic,14,98,"['Ba', 'Fe', 'O']",True
mp-1228836,BaFe12O19,"['Ba', 'Fe', 'O']",3,64,736.8147803661961,5.009713421472491,0.0557808278124882,-1.7348744432812504,1.1864,120.0001327,0.1628633625405289,FM,Hexagonal,186,62,"['Ba', 'Fe', 'O']",True
mp-554293,BaFe12O19,"['Ba', 'Fe', 'O']",3,64,736.6234424133885,5.011014694626489,0.0553591599999885,-1.73529611109375,1.2163,120.0001048,0.1629056284264392,FM,Hexagonal,194,62,"['Ba', 'Fe', 'O']",True
mp-1218653,SrFe12O19,"['Fe', 'O', 'Sr']",3,64,730.8666270726616,4.8246149608246665,0.0817672467578116,-1.7217853407812491,1.0309,120.0000883,0.1641887642080964,FM,Hexagonal,186,62,"['Fe', 'O', 'Sr']",True
mp-3742,SrFe12O19,"['Fe', 'O', 'Sr']",3,64,727.3766251742676,4.8477637874291295,0.072471224726561,-1.7310813628124997,1.1401999999999997,120.0000628,0.1649765178682363,FM,Hexagonal,194,62,"['Fe', 'O', 'Sr']",True
mp-652683,Ba2Fe6O11,"['Ba', 'Fe', 'O']",3,76,1128.0587142192055,4.626406137851825,0.0096051722368377,-1.9789646417105264,1.6633,120.0000593,0.1063774941741919,FM,Orthorhombic,58,68,"['Ba', 'Fe', 'O']",True
mp-685527,Sr18Fe18O47,"['Fe', 'O', 'Sr']",3,83,1128.7842137249636,4.905104767333429,0.0901474228810359,-2.2548432442771085,0.0,85.9999609,0.0761881321995122,FM,Triclinic,2,28,"['Fe', 'O', 'Sr']",True
mp-684887,Fe24N11,"['Fe', 'N']",2,70,667.4809013125756,7.435217087876263,0.0498165222142859,-0.1480681918571414,0.0,78.0871235,0.1169878019677337,FM,Monoclinic,15,48,"['Fe', 'N']",True
mp-1173632,Sr16Fe16O43,"['Fe', 'O', 'Sr']",3,75,977.5318427041982,5.067943182460413,0.0480702071333327,-2.2785212946,0.0,74.0010783,0.0757019618872843,FM,Triclinic,2,24,"['Fe', 'O', 'Sr']",True
mp-530473,Sr16Fe16O45,"['Fe', 'O', 'Sr']",3,77,964.330582840188,5.1924217530069505,0.0124091328571642,-2.2717381164285717,0.0,70.0004724,0.0725897048643128,FM,Triclinic,1,16,"['Fe', 'O', 'Sr']",True
mp-530945,Sr16Fe16O47,"['Fe', 'O', 'Sr']",3,79,960.518365916718,5.268349396066185,0.0030121153164657,-2.239842744240505,0.0,67.5045714,0.0702793135408438,FM,Tetragonal,139,16,"['Fe', 'O', 'Sr']",True
mp-773104,Sr24Fe16O55,"['Fe', 'O', 'Sr']",3,95,1249.6030565035512,5.151122842947303,0.0003125856842123,-2.412290142578946,0.0,66.0018602,0.0528182608521111,FM,Monoclinic,12,16,"['Fe', 'O', 'Sr']",True
mp-698670,Sr14Fe14O39,"['Fe', 'O', 'Sr']",3,67,848.9012687344468,5.149417262887635,0.01576072298508,-2.2775155341044777,0.0,62.0032589,0.0730394230561526,FM,Triclinic,1,14,"['Fe', 'O', 'Sr']",True
mp-505440,Sr4Fe6O13,"['Fe', 'O', 'Sr']",3,46,604.9404179826385,4.905480568736974,0.0506637995924039,-2.1850859115217385,0.0577999999999998,60.0005269,0.0991841925525333,FM,Orthorhombic,45,38,"['Fe', 'O', 'Sr']",True
