material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements,avg_atomic_weight,cell_mass,magnetic_performance_index,score_performance,score_stability,score_is_stable_bonus,score_simplicity,composite_score
mp-19824,Ca(MnGe)2,5.064020553482401,0.0,-0.3383862771724096,FM,7.6281587,0.0787951666424266,7.6281587,96.80998245256175,5,Tetragonal,I4/mmm,True,19.36199649051235,"{'Ca': 1.0, 'Mn': 2.0, 'Ge': 2.0}","['Ca', 'Ge', 'Mn']",3,0.2615443379490251,1.3077216897451258,5.833166766153985,0.9574564197839273,1.0,1.0,0.8,0.9629825679135711
mp-20354,MgMnGe,4.7959383112713425,0.0,-0.191432275977012,FM,7.0847757,0.0673614309700388,3.54238785,105.1755522110447,6,Tetragonal,P4/nmm,True,17.529258701840785,"{'Mg': 2.0, 'Mn': 2.0, 'Ge': 2.0}","['Ge', 'Mg', 'Mn']",3,0.2735961852606871,1.6415771115641224,4.315834845704876,0.708401447344841,1.0,1.0,0.8,0.8633605789379364
mp-699691,Mn7SbAsO12,4.768348038744255,0.0,-2.0031418089532003,FM,70.0040174,0.1299861567642723,35.0020087,538.5497897822388,42,Orthorhombic,Imma,True,12.822614042434257,"{'Mn': 14.0, 'Sb': 2.0, 'As': 2.0, 'O': 24.0}","['As', 'Mn', 'O', 'Sb']",4,0.3718701992405152,15.61854836810164,4.482107795816152,0.7356935015415735,1.0,1.0,0.6,0.8542774006166294
mp-1222504,Mn12Ge4N3,6.705401719919914,0.0,-0.2628346668511812,FM,40.6167555,0.1653639297079191,40.6167555,245.62040568182564,19,Tetragonal,P4/m,True,12.927389772727665,"{'Mn': 12.0, 'Ge': 4.0, 'N': 3.0}","['Ge', 'Mn', 'N']",3,0.5186972650941492,9.855248036788836,4.121332649201824,0.6764758425799512,1.0,1.0,0.8,0.8505903370319805
mp-1172875,Mn2O3,4.717691506399925,0.0,-2.013919843547413,FM,128.0030446,0.1439691190084549,8.0001902875,889.1007007723838,80,Orthorhombic,Pbca,True,11.113758759654797,"{'Mn': 32.0, 'O': 48.0}","['Mn', 'O']",2,0.4244910842878922,33.95928674303138,3.769308983683731,0.6186946523657728,1.0,1.0,1.0,0.8474778609463091
mp-1223358,Mn26As18CO57,4.212629025002728,0.0,-1.8800519839334016,FM,126.1797505,0.0864928165378481,126.1797505,1458.8465903961555,102,Trigonal,P3,True,14.302417552903483,"{'Mn': 26.0, 'As': 18.0, 'C': 1.0, 'O': 57.0}","['As', 'C', 'Mn', 'O']",4,0.2945396475400438,30.043044049084468,4.199965565867657,0.6893826552747093,1.0,1.0,0.6,0.8357530621098839
mp-1205062,Mn2AsO5,3.990136818433993,0.0,-1.9535515363577731,FM,36.0000014,0.0816717655226424,9.00000035,440.7888230360276,32,Orthorhombic,Pnnm,True,13.774650719875863,"{'Mn': 8.0, 'As': 4.0, 'O': 20.0}","['As', 'Mn', 'O']",3,0.2896724497468747,9.269518391899991,3.883697067957488,0.6374703208877452,1.0,1.0,0.8,0.8349881283550982
mp-20223,Mn2GeO4,4.804613839231277,0.0,-2.114749792623151,FM,40.0000031,0.1173730475141507,10.000000775,340.7937677956049,28,Orthorhombic,Pnma,True,12.171205992700177,"{'Mn': 8.0, 'Ge': 4.0, 'O': 16.0}","['Ge', 'Mn', 'O']",3,0.3947524873141495,11.053069644796189,3.6189044659491585,0.5940072438203764,1.0,1.0,0.8,0.8176028975281506
mp-1202591,Mn2AsHO5,3.773937354906448,0.0,-1.8762432144013417,FM,40.0000007,0.0855039784387966,10.000000175,467.8144974111562,36,Orthorhombic,Pnnm,True,12.994847150309894,"{'Mn': 8.0, 'As': 4.0, 'H': 4.0, 'O': 20.0}","['As', 'H', 'Mn', 'O']",4,0.2904179873186464,10.455047543471272,3.8259032810403895,0.627984044474653,1.0,1.0,0.6,0.8111936177898613
mp-3224,Mn7SiO12,4.580059550676433,0.0,-2.236868358525862,FM,116.0100924,0.1322993220576562,29.0025231,876.8759400705213,80,Tetragonal,I4_1/acd,True,10.960949250881516,"{'Mn': 28.0, 'Si': 4.0, 'O': 48.0}","['Mn', 'O', 'Si']",3,0.4178524547322477,33.42819637857981,3.470426315741557,0.569636029381801,1.0,1.0,0.8,0.8078544117527204
mp-19185,Mn3(BO3)2,4.0937089302548895,0.0,-2.4361777151933137,FM,30.0000017,0.1309315839597084,15.00000085,229.127310559627,22,Orthorhombic,Pnnm,True,10.414877752710318,"{'Mn': 6.0, 'B': 4.0, 'O': 12.0}","['B', 'Mn', 'O']",3,0.393063560365801,8.647398328047622,3.469251740456518,0.5694432345085761,1.0,1.0,0.8,0.8077772938034304
mp-1172871,Mn7GeO12,4.783353090346154,0.0,-2.0521910770258613,FM,116.00905,0.1286877779531416,29.0022625,901.4768289980244,80,Tetragonal,I4_1/acd,True,11.268460362475306,"{'Mn': 28.0, 'Ge': 4.0, 'O': 48.0}","['Ge', 'Mn', 'O']",3,0.4244903861289715,33.95923089031773,3.4161271312265167,0.5607233572626674,1.0,1.0,0.8,0.804289342905067
