feature,mean_abs_shap
valence_electron_count,0.2750299
formation_energy_per_atom,0.23462555
density,0.16461992
nelements,0.13881087
dom_elem_Fe,0.096767545
nsites,0.096703194
dom_elem_Mn,0.08362691
density_atomic,0.06813189
avg_atomic_weight,0.058502495
transition_metal_fraction,0.055559807
dom_elem_Ni,0.05305955
energy_above_hull,0.044242647
dom_elem_Co,0.01905317
crystal_Orthorhombic,0.018105313
volume_per_atom,0.017309505
dom_elem_Cr,0.01341179
has_oxygen,0.009566007
crystal_Trigonal,0.008405893
crystal_Monoclinic,0.006622402
crystal_Triclinic,0.0031718798
crystal_Tetragonal,0.0017014401
crystal_Hexagonal,0.0009504708
crystal_Cubic,0.00070768135
