feature,mean_abs_shap
valence_electron_count,0.11467601
formation_energy_per_atom,0.09669621
density,0.059185177
nelements,0.04279147
nsites,0.03269257
dom_elem_Ni,0.030197969
dom_elem_Fe,0.029816035
density_atomic,0.027366042
dom_elem_Mn,0.026201854
transition_metal_fraction,0.02611096
avg_atomic_weight,0.019900844
energy_above_hull,0.013591604
dom_elem_Co,0.011324143
crystal_Orthorhombic,0.007965981
dom_elem_Cr,0.007542879
volume_per_atom,0.007209119
crystal_Trigonal,0.00418244
crystal_Monoclinic,0.0035867358
has_oxygen,0.0022460641
crystal_Triclinic,0.0012936806
crystal_Tetragonal,0.0007749087
crystal_Hexagonal,0.00071273197
crystal_Cubic,0.00030886498
